 19, 1670, 161, 28, 7, 6, 21;
 10, 85, 262, 1500, 25, 3, 14;
 0, 12, 81, 36, 1571, 181, 4;
 12, 1968, 0, 0, 0, 0, 0;
 7, 1973, 0, 0, 0, 0, 0;
 5, 1974, 1, 0, 0, 0, 0;
 25, 2000, 0, 0, 0, 0, 0;
 12, 2013, 0, 0, 0, 0, 0;
 1, 2024, 0, 0, 0, 0, 0;
 42, 1983, 0, 0, 0, 0, 0;
 12, 2013, 0, 0, 0, 0, 0;
 6, 2018, 1, 0, 0, 0, 0;
 0, 13, 47, 458, 1189, 20, 25;
 14, 1610, 72, 17, 22, 18, 35;
 6, 1381, 311, 11, 27, 17, 35;
 21, 2004, 0, 0, 0, 0, 0;
 15, 2010, 0, 0, 0, 0, 0;
 8, 2017, 0, 0, 0, 0, 0;
 20, 2005, 0, 0, 0, 0, 0;
 15, 2010, 0, 0, 0, 0, 0;
 6, 2019, 0, 0, 0, 0, 0;
 8, 8, 43, 1658, 66, 12, 15;
 4, 9, 40, 7, 1672, 58, 9;
 9, 8, 778, 948, 48, 6, 34;
 26, 1999, 0, 0, 0, 0, 0;
 14, 2011, 0, 0, 0, 0, 0;
 4, 2021, 0, 0, 0, 0, 0;
 27, 1998, 0, 0, 0, 0, 0;
 20, 2005, 0, 0, 0, 0, 0;
 7, 2018, 0, 0, 0, 0, 0;
 0, 13, 48, 469, 1177, 27, 19;
 12, 1610, 75, 15, 24, 17, 29;
 8, 1404, 283, 15, 25, 17, 25;
 27, 1998, 0, 0, 0, 0, 0;
 19, 2006, 0, 0, 0, 0, 0;
 2, 2023, 0, 0, 0, 0, 0;
 27, 1998, 0, 0, 0, 0, 0;
 10, 2015, 0, 0, 0, 0, 0;
 3, 2022, 0, 0, 0, 0, 0;
 13, 1967, 0, 0, 0, 0, 0;
 9, 1971, 0, 0, 0, 0, 0;
 0, 1980, 0, 0, 0, 0, 0;
 22, 1679, 149, 25, 11, 2, 21;
 9, 84, 272, 1492, 21, 9, 1;
 0, 13, 81, 41, 1560, 183, 10;
 27, 1953, 0, 0, 0, 0, 0;
 14, 1966, 0, 0, 0, 0, 0;
 2, 1966, 12, 0, 0, 0, 0;
 4, 5, 4, 1674, 27, 26, 29;
 2, 2, 8, 3, 1682, 28, 26;
 4, 5, 595, 1098, 22, 29, 31;
 12, 1968, 0, 0, 0, 0, 0;
 7, 1973, 0, 0, 0, 0, 0;
 2, 1978, 0, 0, 0, 0, 0;
 15, 1965, 0, 0, 0, 0, 0;
 6, 1974, 0, 0, 0, 0, 0;
 0, 1980, 0, 0, 0, 0, 0;
 7, 1929, 0, 0, 0, 0, 0;
 4, 1932, 0, 0, 0, 0, 0;
 0, 1935, 1, 0, 0, 0, 0;
 13, 1630, 158, 6, 10, 42, 28;
 4, 11, 239, 1548, 9, 11, 38;
 0, 5, 12, 63, 1653, 78, 29;
 15, 1965, 0, 0, 0, 0, 0;
 10, 1970, 0, 0, 0, 0, 0;
 3, 1977, 0, 0, 0, 0, 0;
 11, 1925, 0, 0, 0, 0, 0;
 4, 1932, 0, 0, 0, 0, 0;
 0, 1936, 0, 0, 0, 0, 0;
 18, 1962, 0, 0, 0, 0, 0;
 8, 1972, 0, 0, 0, 0, 0;
 2, 1978, 0, 0, 0, 0, 0;
 14, 1635, 149, 14, 8, 38, 25;
 5, 12, 291, 1494, 11, 7, 40;
